"","x"
"245","@LargoTachenko que vengan blanquitos a decirle que está cometiendo los mismos ""errores"" que los blancos? que así  no? que es una barbaridad? eso estás haciendo tú."
"246","@LargoTachenko a ver si con el racismo lo entendemos: ¿te imaginas a un activista antirracista negro teniendo que pedir disculpas por hacer chistes de blancos?"
"247","@LargoTachenko te he contestado al fondo."
"248","@LolaSsomoza qué asco de verdad, no avanzamos"
"249","Cosificar y acosar a una mujer NO es un error de los hombres, es una práctica más dentro de un sistema que los educa para categorizarnos como ciudadanas de segunda. Un sistema que también nos mata. https://t.co/wukHFxvn8f"
"250","Primero la acosan sexualmente, la besan sin su consentimiento, luego la acosan en redes por denunciarlo, hasta que han encontrado la forma de hacer que pida perdón. Han contribuido a eso hasta compañeras de profesión."
"251","Después del acoso sexual en el mundial, ella tiene que pedir disculpas por ""cosificar a futbolistas"": la gran lacra de este país, la cosificación del hombre (?). JAMÁS se puede poner en la misma balanza la cosificación de unas y otros: A NOSOTRAS NOS MATAN
https://t.co/yfHextjwAp"
"252","Porque no quiero ni plantearme que esta periodista entiende perfectamente la diferencia pero es así de retorcida."
"253","7000 RT este tuit. Para llorar cuando compruebas que unas no han entendido nada y otros se aprovechan de eso. https://t.co/Y6KvGfwgnD"
"254","Feminista, reina de la pista. https://t.co/Us27MCVOKU"
"255","@VickyRosell así llevamos un rato ya, con mis tuits sobre la regla censurados. Si reportan lo suficiente lo hacen automáticamente, creo"
